"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2018","26,506.75","25,228.75","26,923.33","25,092.30","36.05B","6.11%"
"10/01/2018","24,979.69","27,716.16","27,716.16","24,540.63","42.50B","-10.11%"
"09/01/2018","27,788.52","27,809.45","28,031.81","26,219.56","36.63B","-0.36%"
"08/01/2018","27,888.55","28,756.72","28,772.80","26,871.11","38.67B","-2.43%"
"07/01/2018","28,583.01","28,617.00","29,083.40","27,745.85","38.81B","-1.29%"
"06/01/2018","28,955.11","30,548.78","31,521.13","28,169.10","43.92B","-4.97%"
"05/01/2018","30,468.56","30,782.21","31,592.56","29,791.87","39.03B","-1.10%"
"04/01/2018","30,808.45","29,927.88","31,094.11","29,518.69","35.93B","2.38%"
"03/01/2018","30,093.38","30,476.99","31,978.14","29,819.63","45.83B","-2.44%"
"02/01/2018","30,844.72","32,950.30","33,048.04","29,129.26","53.59B","-6.21%"
"01/01/2018","32,887.27","30,028.29","33,484.08","30,028.29","67.26B","9.92%"
"12/01/2017","29,919.15","29,261.31","29,997.96","28,134.93","34.86B","2.54%"
"11/01/2017","29,177.35","28,387.55","30,199.69","28,137.77","43.57B","3.30%"
"10/01/2017","28,245.54","27,884.21","28,798.78","27,737.38","37.58B","2.51%"
"09/01/2017","27,554.30","28,015.22","28,248.12","27,300.37","35.06B","-1.49%"
"08/01/2017","27,970.30","27,326.04","28,127.90","26,863.71","48.61B","2.37%"
"07/01/2017","27,323.99","25,654.77","27,324.38","25,199.86","38.33B","6.05%"
"06/01/2017","25,764.58","25,736.35","26,090.33","25,557.80","37.02B","0.41%"
"05/01/2017","25,660.65","24,773.80","25,817.95","24,358.72","35.05B","4.25%"
"04/01/2017","24,615.13","24,236.56","24,717.44","23,723.87","28.19B","2.09%"
"03/01/2017","24,111.59","23,849.22","24,656.65","23,438.86","42.39B","1.56%"
"02/01/2017","23,740.73","23,211.88","24,216.53","22,997.46","41.22B","1.63%"
"01/01/2017","23,360.78","21,993.36","23,397.09","21,883.82","26.30B","6.18%"
"12/01/2016","22,000.56","22,948.65","23,076.24","21,488.82","36.43B","-3.46%"
"11/01/2016","22,789.77","23,015.06","23,268.05","21,957.71","36.01B","-0.63%"
"10/01/2016","22,934.54","23,652.83","24,064.50","22,775.29","27.08B","-1.56%"
"09/01/2016","23,297.15","22,897.16","24,364.00","22,843.42","40.96B","1.39%"
"08/01/2016","22,976.88","22,027.65","23,193.90","21,725.38","39.75B","4.96%"
"07/01/2016","21,891.37","20,967.47","22,300.51","20,304.39","32.69B","5.28%"
"06/01/2016","20,794.37","20,726.53","21,352.37","19,662.70","40.23B","-0.10%"
"05/01/2016","20,815.09","21,061.77","21,061.77","19,594.61","33.35B","-1.20%"
"04/01/2016","21,067.05","20,786.18","21,654.07","20,045.47","31.60B","1.40%"
"03/01/2016","20,776.70","19,259.99","20,872.55","19,108.30","35.12B","8.71%"
"02/01/2016","19,111.93","19,770.96","19,770.96","18,278.80","29.54B","-2.90%"
"01/01/2016","19,683.11","21,782.62","21,794.84","18,534.30","41.82B","-10.18%"
"12/01/2015","21,914.40","22,197.81","22,563.47","21,010.26","30.42B","-0.37%"
"11/01/2015","21,996.42","22,502.28","23,342.07","21,907.35","35.34B","-2.84%"
"10/01/2015","22,640.04","21,172.94","23,423.64","21,130.11","35.38B","8.60%"
"09/01/2015","20,846.30","21,692.78","22,228.59","20,368.12","41.56B","-3.80%"
"08/01/2015","21,670.58","24,533.14","24,924.07","20,865.26","43.17B","-12.04%"
"07/01/2015","24,636.28","26,459.43","26,459.43","22,836.82","47.94B","-6.15%"
"06/01/2015","26,250.03","27,373.06","27,854.74","25,617.78","46.03B","-4.28%"
"05/01/2015","27,424.19","28,231.26","28,524.60","27,191.03","38.03B","-2.52%"
"04/01/2015","28,133.00","24,955.20","28,588.52","24,926.11","60.74B","12.98%"
"03/01/2015","24,900.89","24,996.76","25,113.20","23,677.06","37.41B","0.31%"
"02/01/2015","24,823.29","24,347.27","25,101.96","24,226.29","25.13B","1.29%"
"01/01/2015","24,507.05","23,683.63","24,995.08","23,312.50","39.95B","3.82%"
